login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
yTakkar,yTakkar/Control-image-With-Slider,2017-09-11T14:46:53Z,0,0,PHP,True,True,
yTakkar,yTakkar/crop-image-backup-project,2021-08-26T13:44:55Z,1,1,PHP,True,True,
yTakkar,yTakkar/css-constructor-backup-project,2021-08-26T14:03:28Z,0,0,JavaScript,True,True,mit
yTakkar,yTakkar/django-project-backup-project,2021-08-26T14:05:01Z,0,0,Python,True,True,
yTakkar,yTakkar/dotenv,2018-03-12T10:29:48Z,0,0,JavaScript,True,False,bsd-2-clause
yTakkar,yTakkar/embed-city-app-backup-project,2021-08-26T14:10:18Z,0,0,JavaScript,True,True,
yTakkar,yTakkar/Ember-City-App,2017-09-06T15:00:26Z,1,1,JavaScript,True,True,
yTakkar,yTakkar/Facemash,2017-12-19T10:11:56Z,84,84,JavaScript,True,True,mit
saineshwar,saineshwar/Angular-7-Project-with-ASP.NET-CORE-APIS,2019-01-19T17:58:46Z,200,200,C#,True,True,mit
saineshwar,saineshwar/Angular-Demo-Application,2017-06-24T11:16:30Z,62,62,JavaScript,True,True,
saineshwar,saineshwar/AngularPOC,2018-12-23T07:02:40Z,1,1,PLpgSQL,True,True,mit
saineshwar,saineshwar/api-guidelines,2018-10-04T12:41:26Z,1,1,,True,True,
saineshwar,saineshwar/ASP.NET-CORE-MVC-Project-Event-Management,2017-10-19T13:20:53Z,38,38,C#,True,True,
saineshwar,saineshwar/ASPNET-Core-Angular-7-Project,2019-02-07T04:33:21Z,57,57,TypeScript,True,True,mit
saineshwar,saineshwar/Binding-DropdownList-in-Angular,2017-07-02T07:45:54Z,2,2,C#,True,True,
saineshwar,saineshwar/BLAZOR-PLAYGROUND-SERIES,2021-08-19T12:53:16Z,8,8,C#,True,True,mit
saineshwar,saineshwar/Bugpoint,2021-12-13T04:19:44Z,27,27,JavaScript,True,True,mit
saineshwar,saineshwar/communities,2023-04-17T16:52:27Z,0,0,,True,True,mit
saineshwar,saineshwar/CustomRoleManager,2018-09-07T03:38:18Z,24,24,JavaScript,True,True,
saineshwar,saineshwar/DataTablesGridExample,2019-05-16T03:10:44Z,2,2,JavaScript,True,True,
saineshwar,saineshwar/DemoAudit,2021-04-03T11:57:49Z,13,13,C#,True,True,mit
saineshwar,saineshwar/DemoDropZone,2022-10-30T13:34:35Z,6,6,HTML,True,True,mit
saineshwar,saineshwar/DemoMediatr,2022-04-05T14:34:24Z,0,0,C#,True,True,mit
saineshwar,saineshwar/DemoPaging,2017-08-08T04:13:07Z,9,9,C#,True,True,
saineshwar,saineshwar/DemoSearching,2017-08-13T10:57:31Z,3,3,C#,True,True,
saineshwar,saineshwar/EPPlus,2017-11-10T18:24:10Z,2,2,C#,True,True,lgpl-3.0
saineshwar,saineshwar/ExcelExporter,2018-05-13T04:36:54Z,8,8,C#,True,True,
saineshwar,saineshwar/Frapper,2020-10-24T13:41:42Z,158,158,JavaScript,True,True,
saineshwar,saineshwar/Frapper.API,2020-12-22T16:46:19Z,30,30,C#,True,True,mit
